Date,Time,Match,Stars,Odds,HTHG,HTAG,FTHG,FTAG
08/02/2020,20:00,ABC - Ceara,,2.85,0,0,0,0
08/02/2020,22:05,Cucuta - Petrolera,,2.84,0,1,0,2
09/02/2020,00:10,Dep. Cali - America De Cali,,3.02,1,0,2,1
09/02/2020,12:00,Ebro - Ejea,,2.88,1,1,0,0
09/02/2020,15:00,Pianese - Pro Patria,,2.83,0,1,1,1
09/02/2020,17:00,CD Badajoz - Cordoba,,2.94,0,0,0,1
09/02/2020,18:30,El Ismaily - Zamalek,,2.98,1,0,1,2
09/02/2020,20:30,Malaga - Numancia,,2.88,0,1,2,1
09/02/2020,22:00,Jaguares de Cordoba - Millonarios,,2.96,1,1,4,1
10/02/2020,00:30,Sportivo Belgrano - Def. Pronunciamiento,,2.86,1,1,1,2
10/02/2020,13:30,Tanta - Enppi,,2.86,0,0,0,0
10/02/2020,16:00,Wadi Degla - El Masry,,2.81,0,1,0,3
10/02/2020,18:00,H. Akko - Hapoel Petah Tikva,,2.86,1,0,2,1
10/02/2020,21:00,Ituzaingo - Excursionistas,,2.66,1,0,2,1
11/02/2020,00:30,Santamarina - Sarmiento Junin,,3.05,0,0,1,1
11/02/2020,14:30,Aizawl - TRAU FC,,3.5,0,0,2,0
11/02/2020,18:30,Arab Contractors - Pyramids,,2.98,0,2,0,2
11/02/2020,20:00,GFC Ajaccio - Concarneau,,2.71,1,0,2,0
12/02/2020,17:00,Sporting Ideal - Sertanense,,2.93,0,0,0,1
12/02/2020,20:00,Caucaia - EC Sao Jose,,2.76,0,0,1,2
13/02/2020,01:40,Bogota - Huila,,2.89,0,1,0,4
13/02/2020,18:00,"Atromitos - Aris

",,2.82,0,1,0,1
13/02/2020,20:30,Ferroviaria - Avai,,2.82,0,0,2,0
13/02/2020,23:15,Novo Hamburgo - Ponte Preta,,2.91,0,1,1,2
14/02/2020,18:00,Villefranche - Red Star,,3.01,0,0,0,0
14/02/2020,21:00,Dep. La Coruna - Girona,,2.88,1,0,2,2
14/02/2020,21:00,Patronato - Union de Santa Fe,,2.94,0,0,1,0
15/02/2020,02:05,Petrolera - La Equidad,,2.95,1,0,1,0
15/02/2020,11:00, Yeni Orduspor - Artvin Hopaspor,,3.1,0,0,0,0
15/02/2020,13:00,Hannover - Hamburger SV,,3.8,0,0,1,1
15/02/2020,15:00,Gozzano - Pianese,,2.79,0,0,1,0
15/02/2020,16:30,Portimonense - Moreirense,,3.35,1,1,1,1
15/02/2020,18:15,R. Oviedo - Alcorcon,,2.94,0,2,1,2
15/02/2020,21:00,Elche - Zaragoza,,3.03,1,2,1,2
15/02/2020,23:40,Atl. Tucuman - Argentinos Jrs,,2.96,0,0,0,2
16/02/2020,12:00,Mirandes - Albacete,,3.08,1,1,1,1
16/02/2020,15:00,Pro Patria - Arezzo,,2.87,0,1,0,1
16/02/2020,17:30,Pistoiese - Siena,,2.73,0,0,1,1
16/02/2020,20:00,Patriotas - Santa Fe,,2.78,0,1,0,2
16/02/2020,23:00,Belgrano - Agropecuario,,3.12,0,1,1,1
17/02/2020,02:15,Cucuta - Dep. Pasto,,3,0,0,0,0
17/02/2020,16:00,El Gaish - Misr Lel Makkasa,,2.78,1,0,1,0
17/02/2020,19:00,FC Hermannstadt - Astra,,2.84,0,0,2,2
17/02/2020,20:45,Carrarese - Renate,,2.84,1,0,2,1
17/02/2020,23:00,Estudiantes L.P. - Defensa y Justicia,,2.86,0,1,1,2
18/02/2020,17:00,Olympique Khouribga - Olympique de Safi,,2.8,0,0,1,1
18/02/2020,21:00,Atl. Madrid - Liverpool,,3.11,1,0,1,0
19/02/2020,01:40,Pereira - Jaguares de Cordoba,,3.05,1,0,1,0
19/02/2020,11:00,Yomraspor - Silivrispor,,2.88,1,0,1,1
19/02/2020,21:00,Mirandes - Zaragoza,,3.02,0,1,1,1
20/02/2020,00:00,Boca Juniors - Leones,,3.2,0,0,0,0
20/02/2020,15:00,North East Utd - Hyderabad,,3.84,1,3,1,5
20/02/2020,21:30,Orsomarso - Fortaleza,,2.9,1,1,1,2
21/02/2020,02:05,Atletico F.C. - Cartagena,,3,1,1,1,2
21/02/2020,12:45,Agudat Sport Ashdod - Nordia Jerusalem,,2.97,1,0,2,1
21/02/2020,19:00,U. Cluj - FC Arges,,3.38,0,1,1,1
21/02/2020,21:00,Gijon - Cadiz CF,,2.73,0,0,1,0
21/02/2020,23:15,Novorizontino - Mirassol,,2.96,1,1,1,1
22/02/2020,10:00,Ripensia Timisoara - Metaloglobus,,2.92,3,0,3,0
22/02/2020,13:00,Celta Vigo - Leganes,,3.15,0,0,1,0
22/02/2020,16:00,Alcorcon - Las Palmas,,2.88,1,1,1,1
22/02/2020,18:00,Angers II - Rouen,,2.72,0,0,2,0
22/02/2020,20:45,Siena - AlbinoLeffe,,2.88,0,1,1,1
22/02/2020,23:35,All Boys - Tigre,,2.88,1,1,2,1
23/02/2020,12:00,Lugo - R. Oviedo,,2.94,1,0,1,0
23/02/2020,15:00,Olbia - Pistoiese,,2.9,1,0,1,0
23/02/2020,17:00,Sporting Ideal - Oliveira Hospital,,2.77,1,1,2,1
23/02/2020,19:00,Hassania Agadir - Olympique Khouribga,,3.2,0,0,1,2
23/02/2020,21:00,Rayo Vallecano - Huesca,,2.89,0,0,2,0
23/02/2020,23:20,Bucaramanga - Aguilas,,3.08,2,0,2,0
24/02/2020,21:00,Club Sportivo Penarol - Sportivo Estudiantes,,2.9,0,0,1,3
24/02/2020,23:40,Defensa y Justicia - Rosario Central,,3,2,0,3,0
25/02/2020,01:50,San Martin T. - Sarmiento Junin,,3.4,1,0,2,0
25/02/2020,17:00,Olympique de Safi - FAR Rabat,,2.64,0,1,1,1
25/02/2020,20:45,Cardiff - Nottingham,,3.23,0,0,0,1
26/02/2020,01:30,"Sport Huancayo (Per) - Argentinos Jrs (Arg)

",,2.9,0,0,0,0
26/02/2020,15:00,Avellino - Paganese,,3,0,0,1,0
26/02/2020,17:00,Adanaspor AS - Umraniyespor,,3.45,0,1,0,1
26/02/2020,19:30,Crac Go - Ipora,,2.87,0,0,2,1
27/02/2020,00:00,Salgueiro - Sport Recife,,3.45,1,1,2,1
27/02/2020,13:30,Gol Gohar - Esteghlal F.C.,,2.9,0,0,1,0
27/02/2020,17:00,ASO Chlef - Paradou,,2.49,0,0,0,1
28/02/2020,00:05,Patronato - Instituto,,2.9,1,0,1,1
28/02/2020,13:00,Saipa - Sanat Naft,,2.7,0,1,1,2
28/02/2020,15:00,Pars Janoobi Jam - Tractor,,2.9,1,0,1,0
28/02/2020,17:00,Olympique Khouribga - Rapide Oued Zem,,2.74,0,0,0,0
28/02/2020,21:00,Las Palmas - Malaga,,2.93,0,0,1,1
28/02/2020,23:00,Tigre - Gimnasia Jujuy,,3.37,2,0,3,1
29/02/2020,13:00,Darmstadt - Heidenheim,,3.15,2,0,2,0
29/02/2020,16:00,Ponferradina - Gijon,,2.93,1,0,1,0
29/02/2020,18:00,Mouloudia Oujda - Difaa El Jadidi,,2.94,0,0,1,1
29/02/2020,20:30,Albacete - Rayo Vallecano,,2.89,1,1,1,1
29/02/2020,23:05,Belgrano - Deportivo Moron,,3.63,1,0,1,0
01/03/2020,12:00,Mirandes - Girona,,3.1,0,0,1,1
01/03/2020,16:00,Espanyol - Atl. Madrid,,3.15,1,0,1,1
01/03/2020,18:00,Raja Beni Mellal - Olympique de Safi,,2.91,0,0,0,0
01/03/2020,20:00,Vitoria - Bahia,,2.98,0,0,1,2
01/03/2020,21:30,Gimnasia Mendoza - Villa Dalmine,,3.03,0,1,3,1
02/03/2020,00:10,Cucuta - Bucaramanga,,3.14,0,0,0,1
02/03/2020,19:00,Youssoufia Berrechid - IR Tanger,,2.86,3,0,3,0
02/03/2020,21:00,Dep. Riestra - San Martin T.,,2.87,0,1,0,1
02/03/2020,23:00,Patronato - Talleres Cordoba,,3.17,2,0,3,2
03/03/2020,17:00,Rapide Oued Zem - FAR Rabat,,2.72,0,1,2,2
03/03/2020,19:00,FUS Rabat - Olympique Khouribga,,3.09,1,0,1,0
03/03/2020,23:10,Chacarita Juniors - Instituto,,2.9,1,0,1,0
04/03/2020,01:40,Millonarios - Santa Fe,,3,0,0,0,0
04/03/2020,19:00,Votuporanguense - Audax-SP,,2.97,1,0,1,2
04/03/2020,21:30,Leones - Boca Juniors,,3.34,1,1,1,1
04/03/2020,23:30,CRB - Nautico,,3.15,1,1,2,3
05/03/2020,16:00,El Gaish - Enppi,,2.97,0,0,0,0
05/03/2020,19:00,Olympique de Safi - Renaissance Zemamra,,2.69,1,0,1,3
05/03/2020,21:00,Granada CF - Ath Bilbao,,3.06,0,0,2,1
06/03/2020,00:00,Operario - America MG,,3.12,0,0,0,2
06/03/2020,12:00,Hapoel Azor - Agudat Sport Ashdod,,3.13,0,0,0,0
06/03/2020,19:00,Moghreb Tetouan - Youssoufia Berrechid,,2.99,1,0,2,0
06/03/2020,21:00,Lugo - Cadiz CF,,2.87,0,1,1,1
07/03/2020,01:10,Argentinos Jrs - Rosario Central,,2.98,1,1,2,1
07/03/2020,11:30,Etar - Arda,,3.21,0,0,1,1
07/03/2020,13:00,U. Cluj - Metaloglobus,,3.58,1,1,1,2
07/03/2020,16:00,Extremadura UD - R. Oviedo,,2.87,0,1,1,2
07/03/2020,18:00,Valencia B - Ejea,,3.04,0,1,1,1
07/03/2020,20:00,Leones - Atletico F.C.,,3.96,1,0,1,0
07/03/2020,23:00,Villa Dalmine - Sarmiento Junin,,2.8,0,0,1,0
08/03/2020,12:00,Rayo Vallecano - Elche,,3.4,1,0,2,3
08/03/2020,14:00,Valladolid - Ath Bilbao,,2.85,0,2,1,4
08/03/2020,16:00,Malaga - Zaragoza,,3,0,0,0,1
08/03/2020,18:15,Alcorcon - Mirandes,,3.1,0,0,1,2
08/03/2020,20:00,Chico - Petrolera,,3.06,2,1,2,2
08/03/2020,21:30,Cartagena - U. Magdalena,,2.99,0,1,0,2
08/03/2020,23:15,Ferro Gen. Pico - Huracan Las Heras,,2.6,1,0,1,1
09/03/2020,12:00,FK Rostov - CSKA Moscow,,3,1,1,3,2
09/03/2020,17:00,Raja Beni Mellal - Rapide Oued Zem,,2.96,1,0,1,0
09/03/2020,19:30,Gaz Metan Medias - CFR Cluj,,3.59,0,0,0,0
10/03/2020,02:05,Boca Juniors - Quindio,,3.14,0,1,1,3
10/03/2020,13:00,Krasnodar 2 - Chertanovo M.,,3.49,0,1,1,2
10/03/2020,17:00,Balikesirspor - Bursaspor,,3.78,0,2,1,3
10/03/2020,20:00,Eibar - Real Sociedad,,3.57,0,1,1,2
11/03/2020,02:05,La Equidad - Dep. Pasto,,3.41,0,0,1,1
11/03/2020,12:00,Kizilcaboluk Spor Kulubu - 52 Orduspor,,3.38,1,0,2,1
11/03/2020,16:00,Enppi - Pyramids,,3.21,0,0,0,1
11/03/2020,18:30,Tanta - Wadi Degla,,2.9,0,0,0,0
11/03/2020,21:00,Atletico F.C. - Huila,,2.94,0,0,1,2
12/03/2020,01:30,Barranquilla - Leones,,3.1,1,0,2,3
12/03/2020,16:00,IR Tanger - Wydad,,3.33,0,0,0,2
12/03/2020,18:00,Berkane - FUS Rabat,,2.75,0,1,0,1
12/03/2020,21:30,Orsomarso - Boca Juniors,,3.18,0,1,1,3
12/03/2020,23:30,Santa Cruz - Botafogo PB,,2.91,1,0,3,0
13/03/2020,17:30,Akhmat Grozny - Dynamo Moscow,,2.96,1,1,2,3
13/03/2020,19:00,Rapide Oued Zem - Renaissance Zemamra,,2.76,1,0,2,1
13/03/2020,21:00,Circulo Deportivo - Camioneros Buenos Aires,,2.62,2,0,2,0
13/03/2020,23:15,Oeste - Botafogo SP,,2.8,0,0,3,0
14/03/2020,20:00,San Miguel - UAI Urquiza,,2.7,0,4,2,4
14/03/2020,22:00,Nautico - Fortaleza,,3.06,0,1,0,3
15/03/2020,14:30,Menemen Bld. - Istanbulspor AS,,2.97,1,1,2,2
15/03/2020,20:00,Sportivo Barracas - Puerto Nuevo,,3.16,0,0,0,1
15/03/2020,23:10,Belgrano - Platense,,3.64,1,1,1,1
16/03/2020,02:00,Central Cordoba - Newells Old Boys,,3.28,0,2,1,2
16/03/2020,17:30,Tambov - FK Krylya Sovetov Samara,,3.04,1,0,3,0
16/03/2020,20:00,San Martin Burzaco - General Lamadrid,,2.97,1,0,2,1
17/03/2020,01:05,Chacarita Juniors - Almagro,,2.71,1,1,1,2
18/03/2020,12:30,Hopaspor - Sultanbeyli,,3.41,0,0,0,1
18/03/2020,19:30,Capital - Sobradinho,,3.55,1,0,4,0
21/03/2020,12:00,Vitebsk - Gorodeja,,3.22,1,0,1,0
21/03/2020,15:00,Onze Bravos - Petro Atletico,,3.03,0,0,0,3
22/03/2020,02:00,Jalapa - Ferretti,,3.43,1,0,2,0
26/03/2020,02:30,Real Madriz - Jalapa,,3.15,0,0,1,0
06/04/2020,01:00,Ferretti - Esteli,,3.77,1,0,1,0
17/04/2020,16:30,Belshina - Smolevichi,,2.67,0,0,1,1
24/04/2020,19:00,Neman - Energetik-BGU,,3.05,0,0,3,0
